% This data was collected by Sergio Giraldo, MTG, Pompeu Fabra University, 2016 (sergio.giraldo@upf.edu). If you make use of this data please refer to the following citattions:
% Giraldo, Sergio, and Ramirez, Rafael (2015). Computational modeling of ornamentation in jazz guitar music, In proc. of International Symposium in Performance Science, ISPS 2015, September, Kyoto, Japan.
% Giraldo, Sergio, and Ramirez, Rafael(2015) . Computational Generation and Synthesis of Jazz Guitar Ornaments using Machine Learning Modeling. In proc. of International Workshop in Machine Learning and Music MML 2015, August, Vancouver, Canada.

@relation Darn_that_dream_pas

@ATTRIBUTE onset_b numeric
@ATTRIBUTE dur_b numeric
@ATTRIBUTE string numeric
@ATTRIBUTE pitch numeric
@ATTRIBUTE vel numeric
@ATTRIBUTE onset_s numeric
@ATTRIBUTE dur_s numeric
@ATTRIBUTE measure numeric
@ATTRIBUTE pre_dur_b numeric
@ATTRIBUTE pre_dur_s numeric
@ATTRIBUTE nxt_dur_b numeric
@ATTRIBUTE nxt_dur_s numeric
@ATTRIBUTE pre_ionset_s numeric
@ATTRIBUTE nxt_ionset_s numeric
@ATTRIBUTE onset_b_mod numeric
@ATTRIBUTE pitch_mod numeric
@ATTRIBUTE n_simult numeric
@ATTRIBUTE prev_int numeric
@ATTRIBUTE next_int numeric
@ATTRIBUTE keyFifths numeric
@ATTRIBUTE note2key numeric
@ATTRIBUTE chord { A7 B5 B7 B9 Bb7 C6 C7 D7 E E7 Eb6 Eb7 F7 G G6 G7 }
@ATTRIBUTE chord_id numeric
@ATTRIBUTE chord_type { 5 6 7 9 mayor }
@ATTRIBUTE note2chord numeric
@ATTRIBUTE isChordN { n y }
@ATTRIBUTE mtr { s ss ww }
@ATTRIBUTE nar1 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar2 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar3 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE tempo numeric
@ATTRIBUTE phrase { f i m }
@ATTRIBUTE fileName { Darn_that_dream.xml }
@ATTRIBUTE emb_count numeric
@ATTRIBUTE emb { n y }
@ATTRIBUTE emb_label { complex n omited simple }
@ATTRIBUTE duration_rat numeric
@ATTRIBUTE onset_dev numeric
@ATTRIBUTE pitch_dev numeric
@ATTRIBUTE energy_rat numeric
@ATTRIBUTE energy_dev numeric
@ATTRIBUTE duration_dev numeric
@ATTRIBUTE duration_dev_nom { lengthen none shorten }
@ATTRIBUTE onset_dev_nom { advance delay none }
@ATTRIBUTE energy_dev_nom { forte none piano }

@data
0.000000,0.997917,7.000000,43.000000,80.000000,0.000000,0.855357,1.000000,0.000000,0.000000,0.997917,0.855357,0.000000,0.000000,0.000000,7.000000,3.000000,24.000000,11.000000,1.000000,0.000000,G6,7.000000,6,0.000000,y,ss,IR,P,P,70.000000,i,Darn_that_dream.xml,3.000000,y,simple,0.244092,0.000000,1.000000,1.235534,18.842716,-0.754333,shorten,none,forte
0.000000,0.997917,7.000000,54.000000,80.000000,0.000000,0.855357,1.000000,0.997917,0.855357,0.997917,0.855357,0.000000,0.000000,0.000000,6.000000,3.000000,-11.000000,5.000000,1.000000,1.000000,G6,7.000000,6,1.000000,n,ss,P,P,SB,70.000000,m,Darn_that_dream.xml,1.000000,n,n,0.973904,0.232917,0.000000,0.935534,-5.157284,-0.026042,lengthen,delay,piano
0.000000,0.997917,6.000000,59.000000,80.000000,0.000000,0.855357,1.000000,0.997917,0.855357,0.997917,0.855357,0.000000,0.000000,0.000000,11.000000,3.000000,-5.000000,3.000000,1.000000,4.000000,G6,7.000000,6,4.000000,y,ss,P,SB,VR,70.000000,m,Darn_that_dream.xml,3.000000,y,simple,1.565136,0.329333,-5.000000,1.085534,6.842716,0.563958,lengthen,delay,forte
0.000000,0.997917,5.000000,62.000000,80.000000,0.000000,0.855357,1.000000,0.997917,0.855357,0.997917,0.855357,0.000000,0.857143,0.000000,2.000000,3.000000,-3.000000,5.000000,1.000000,5.000000,G6,7.000000,6,5.000000,n,ss,SB,VR,SA,70.000000,m,Darn_that_dream.xml,1.000000,n,n,0.519833,1.352000,5.000000,0.973034,-2.157284,-0.479167,none,delay,none
1.000000,0.997917,4.000000,67.000000,80.000000,0.857143,0.855357,1.000000,0.997917,0.855357,1.497917,1.283929,-0.857143,0.857143,1.000000,7.000000,0.000000,-5.000000,-21.000000,1.000000,0.000000,G6,7.000000,6,0.000000,y,ww,VR,SA,IR,70.000000,f,Darn_that_dream.xml,1.000000,n,n,0.500000,0.473333,0.000000,0.910534,-7.157284,-0.498958,none,delay,piano
2.000000,1.497917,3.000000,46.000000,80.000000,1.714286,1.283929,1.000000,0.997917,0.855357,1.497917,1.283929,-0.857143,0.000000,2.000000,10.000000,3.000000,21.000000,9.000000,1.000000,3.000000,G6,7.000000,6,3.000000,n,ww,SA,IR,P,70.000000,i,Darn_that_dream.xml,1.000000,n,n,0.994437,0.133083,0.000000,1.073034,5.842716,-0.008333,lengthen,delay,forte
2.000000,1.497917,7.000000,55.000000,80.000000,1.714286,1.283929,1.000000,1.497917,1.283929,1.497917,1.283929,0.000000,0.000000,2.000000,7.000000,3.000000,-9.000000,6.000000,1.000000,0.000000,G6,7.000000,6,0.000000,y,ww,IR,P,SB,70.000000,m,Darn_that_dream.xml,1.000000,n,n,0.653686,0.237083,0.000000,0.910534,-7.157284,-0.518750,none,delay,piano
2.000000,1.497917,2.000000,61.000000,80.000000,1.714286,1.283929,1.000000,1.497917,1.283929,1.497917,1.283929,0.000000,0.000000,2.000000,1.000000,3.000000,-6.000000,2.000000,1.000000,6.000000,G6,7.000000,6,6.000000,n,ww,P,SB,VR,70.000000,m,Darn_that_dream.xml,1.000000,n,n,0.860223,0.309667,0.000000,1.010534,0.842716,-0.209375,none,delay,none
2.000000,1.497917,4.000000,63.000000,80.000000,1.714286,1.283929,1.000000,1.497917,1.283929,0.497917,0.426786,0.000000,1.285715,2.000000,3.000000,3.000000,-2.000000,1.000000,1.000000,4.000000,G6,7.000000,6,4.000000,y,ww,SB,VR,IR,70.000000,f,Darn_that_dream.xml,1.000000,n,n,0.803894,0.394167,0.000000,0.935534,-5.157284,-0.293750,none,delay,piano
3.500000,0.497917,7.000000,64.000000,80.000000,3.000001,0.426786,1.000000,1.497917,1.283929,0.997917,0.855357,-1.285715,0.428571,3.500000,4.000000,0.000000,-1.000000,-19.000000,1.000000,3.000000,Bb7,11.000000,7,7.000000,y,ww,VR,IR,P,70.000000,i,Darn_that_dream.xml,2.000000,y,simple,0.397490,0.323083,-1.000000,0.985534,-1.157284,-0.300000,none,delay,none
