% This data was collected by Sergio Giraldo, MTG, Pompeu Fabra University, 2016 (sergio.giraldo@upf.edu). If you make use of this data please refer to the following citattions:
% Giraldo, Sergio, and Ramirez, Rafael (2015). Computational modeling of ornamentation in jazz guitar music, In proc. of International Symposium in Performance Science, ISPS 2015, September, Kyoto, Japan.
% Giraldo, Sergio, and Ramirez, Rafael(2015) . Computational Generation and Synthesis of Jazz Guitar Ornaments using Machine Learning Modeling. In proc. of International Workshop in Machine Learning and Music MML 2015, August, Vancouver, Canada.

@relation Darn_that_dream_perf

@ATTRIBUTE onset_b numeric
@ATTRIBUTE dur_b numeric
@ATTRIBUTE string numeric
@ATTRIBUTE pitch numeric
@ATTRIBUTE vel numeric
@ATTRIBUTE onset_s numeric
@ATTRIBUTE dur_s numeric
@ATTRIBUTE measure numeric
@ATTRIBUTE pre_dur_b numeric
@ATTRIBUTE pre_dur_s numeric
@ATTRIBUTE nxt_dur_b numeric
@ATTRIBUTE nxt_dur_s numeric
@ATTRIBUTE pre_ionset_s numeric
@ATTRIBUTE nxt_ionset_s numeric
@ATTRIBUTE onset_b_mod numeric
@ATTRIBUTE pitch_mod numeric
@ATTRIBUTE n_simult numeric
@ATTRIBUTE prev_int numeric
@ATTRIBUTE next_int numeric
@ATTRIBUTE keyFifths numeric
@ATTRIBUTE keyMode {  }
@ATTRIBUTE note2key numeric
@ATTRIBUTE chord { A7 B5 B7 B9 Bb7 C6 C7 D7 E E7 Eb6 Eb7 F7 G G6 G7 }
@ATTRIBUTE chord_id numeric
@ATTRIBUTE chord_type { 5 6 7 9 mayor }
@ATTRIBUTE note2chord numeric
@ATTRIBUTE isChordN { n y }
@ATTRIBUTE mtr { ww }
@ATTRIBUTE nar1 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar2 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar3 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE tempo numeric
@ATTRIBUTE phrase { f i m }
@ATTRIBUTE fileName { Darn_that_dream.xml }

@data
0.701042,0.061458,6.000000,43.000000,89.000000,0.525781,0.046094,1.000000,0.000000,0.000000,0.595833,0.510714,0.000000,0.578125,0.701042,7.000000,0.000000,14.000000,-0.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,ww,IP,VP,IR,70.000000,i,Darn_that_dream.xml
0.770833,0.595833,6.000000,43.000000,96.000000,0.578125,0.446875,1.000000,0.061458,0.052679,0.139583,0.119643,0.525781,0.600781,0.770833,7.000000,0.000000,-0.000000,5.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,ww,VP,IR,P,70.000000,m,Darn_that_dream.xml
0.801042,0.139583,5.000000,48.000000,69.000000,0.600781,0.104688,1.000000,0.595833,0.510714,0.971875,0.833036,0.578125,0.693750,0.801042,0.000000,0.000000,-5.000000,6.000000,1.000000,,7.000000,G6,7.000000,6,7.000000,y,ww,IR,P,SB,70.000000,m,Darn_that_dream.xml
0.925000,0.971875,4.000000,54.000000,67.000000,0.693750,0.728906,1.000000,0.139583,0.119643,0.866667,0.742857,0.600781,0.763281,0.925000,6.000000,2.000000,-6.000000,5.000000,1.000000,,1.000000,G6,7.000000,6,1.000000,n,ww,P,SB,VR,70.000000,m,Darn_that_dream.xml
1.017708,0.866667,3.000000,59.000000,85.000000,0.763281,0.650000,1.000000,0.971875,0.833036,0.796875,0.683036,0.693750,0.835938,1.017708,11.000000,2.000000,-5.000000,3.000000,1.000000,,4.000000,G6,7.000000,6,4.000000,y,ww,SB,VR,R,70.000000,m,Darn_that_dream.xml
1.114583,0.796875,2.000000,62.000000,75.000000,0.835938,0.597656,1.000000,0.866667,0.742857,1.198958,1.027679,0.763281,1.025000,1.114583,2.000000,2.000000,-3.000000,-16.000000,1.000000,,5.000000,G6,7.000000,6,5.000000,n,ww,VR,R,SB,70.000000,m,Darn_that_dream.xml
1.366667,1.198958,6.000000,46.000000,77.000000,1.025000,0.899219,1.000000,0.796875,0.683036,0.518750,0.444643,0.835938,1.500781,1.366667,10.000000,0.000000,16.000000,21.000000,1.000000,,3.000000,G6,7.000000,6,3.000000,n,ww,R,SB,VR,70.000000,f,Darn_that_dream.xml
2.001042,0.518750,1.000000,67.000000,70.000000,1.500781,0.389062,1.000000,1.198958,1.027679,0.498958,0.427679,1.025000,1.588281,2.001042,7.000000,0.000000,-21.000000,-0.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,ww,SB,VR,SA,70.000000,i,Darn_that_dream.xml
2.117708,0.498958,3.000000,67.000000,65.000000,1.588281,0.374219,1.000000,0.518750,0.444643,1.489583,1.276786,1.500781,2.064062,2.117708,7.000000,0.000000,-0.000000,-21.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,ww,VR,SA,IR,70.000000,f,Darn_that_dream.xml
2.752083,1.489583,6.000000,46.000000,78.000000,2.064062,1.117188,1.000000,0.498958,0.427679,0.979167,0.839286,1.588281,2.139063,2.752083,10.000000,3.000000,21.000000,9.000000,1.000000,,3.000000,G6,7.000000,6,3.000000,n,ww,SA,IR,IP,70.000000,i,Darn_that_dream.xml
2.852083,0.979167,4.000000,55.000000,65.000000,2.139063,0.734375,1.000000,1.489583,1.276786,1.288542,1.104464,2.064062,2.191406,2.852083,7.000000,3.000000,-9.000000,6.000000,1.000000,,0.000000,G6,7.000000,6,0.000000,y,ww,IR,IP,D,70.000000,m,Darn_that_dream.xml
2.921875,1.288542,3.000000,61.000000,73.000000,2.191406,0.966406,1.000000,0.979167,0.839286,1.204167,1.032143,2.139063,2.252344,2.921875,1.000000,3.000000,-6.000000,2.000000,1.000000,,6.000000,Bb7,11.000000,7,10.000000,y,ww,IP,D,SB,70.000000,m,Darn_that_dream.xml
3.003125,1.204167,2.000000,63.000000,67.000000,2.252344,0.903125,1.000000,1.288542,1.104464,0.313542,0.268750,2.191406,3.282813,3.003125,3.000000,3.000000,-2.000000,-0.000000,1.000000,,4.000000,Bb7,11.000000,7,8.000000,n,ww,D,SB,VR,70.000000,f,Darn_that_dream.xml
4.377083,0.313542,2.000000,63.000000,76.000000,3.282813,0.235156,2.000000,1.204167,1.032143,0.197917,0.169643,2.252344,3.282813,0.377083,3.000000,0.000000,-0.000000,-0.000000,1.000000,,4.000000,Eb7,4.000000,7,1.000000,n,ww,SB,VR,IR,70.000000,i,Darn_that_dream.xml
