@relation 'All_energy_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45-weka.filters.unsupervised.attribute.Remove-R1-5,8,10-21,23-31'

@attribute onset_s numeric
@attribute dur_s numeric
@attribute pre_dur_b numeric
@attribute chord {A7,B5,B7,B9,Bb7,C6,C7,D7,E,E7,Eb6,Eb7,F7,G,G6,G7,Am}
@attribute phrase {f,i,m}
@attribute energy_rat numeric

@data
0,0.855357,0,G6,i,1.235534
0,0.855357,0.997917,G6,m,0.935534
0,0.855357,0.997917,G6,m,1.085534
0,0.855357,0.997917,G6,m,0.973034
0.857143,0.855357,0.997917,G6,f,0.910534
1.714286,1.283929,0.997917,G6,i,1.073034
1.714286,1.283929,1.497917,G6,m,0.910534
1.714286,1.283929,1.497917,G6,m,1.010534
1.714286,1.283929,1.497917,G6,f,0.935534
3.000001,0.426786,1.497917,Bb7,i,0.985534
3.428572,0.855357,0.497917,Eb7,i,1.060534
3.428572,0.855357,0.997917,Eb7,m,0.910534
3.428572,0.855357,0.997917,Eb7,m,0.960534
3.428572,0.855357,0.997917,Eb7,m,0.948034
4.285715,0.855357,0.997917,A7,f,0.898034
5.142858,1.283929,0.997917,A7,i,1.148034
5.142858,1.283929,1.497917,A7,m,0.923034
5.142858,1.283929,1.497917,A7,m,0.973034
5.142858,1.283929,1.497917,A7,f,0.960534
6.428573,0.426786,1.497917,B7,i,0.998034
6.857144,0.855357,0.497917,B7,m,0.923034
6.857144,0.855357,0.997917,B7,m,0.923034
6.857144,0.855357,0.997917,B7,m,1.048034
6.857144,0.855357,0.997917,B7,m,0.948034
7.714287,0.855357,0.997917,E,m,1.085534
8.57143,0.426786,0.997917,E,m,1.085534
8.57143,0.855357,0.497917,E,m,1.010534
8.57143,0.855357,0.997917,E,m,0.960534
8.57143,0.855357,0.997917,E,m,1.285534
9.000002,0.426786,0.997917,E,m,1.060534
9.428573,0.426786,0.497917,A7,m,1.348034
9.857145,0.426786,0.497917,A7,m,1.348034
10.285716,0.855357,0.497917,C6,m,0.873034
10.285716,1.7125,0.997917,C6,m,0.910534
10.285716,1.7125,1.997917,C6,m,0.973034
10.285716,1.7125,1.997917,C6,m,1.023034
11.142859,0.855357,1.997917,B7,f,0.910534
12.000002,1.7125,0.997917,B7,i,0.898034
12.000002,1.7125,1.997917,B7,m,0.885534
12.000002,1.7125,1.997917,B7,m,0.885534
12.000002,1.7125,1.997917,B7,f,0.935534
12.428574,1.283929,1.997917,B7,i,0.998034
13.714288,1.7125,1.497917,E7,f,0.998034
14.571431,0.855357,1.997917,A7,i,1.085534
14.571431,0.855357,0.997917,A7,f,1.085534
15.428574,0.426786,0.997917,A7,i,1.085534
15.428574,0.426786,0.497917,A7,m,0.923034
15.857146,0.426786,0.497917,F7,m,1.073034
15.857146,0.426786,0.497917,F7,m,1.035534
16.285717,0.426786,0.497917,F7,m,1.073034
16.285717,0.426786,0.497917,F7,m,1.160534
16.714289,0.426786,0.497917,F7,m,1.023034
16.714289,0.426786,0.497917,F7,m,1.060534
17.14286,0.855357,0.497917,F7,m,1.260534
17.14286,0.855357,0.997917,F7,m,0.935534
17.14286,0.855357,0.997917,F7,m,1.085534
17.14286,0.855357,0.997917,F7,m,1.023034
17.14286,0.855357,0.997917,F7,m,0.998034
18.000003,0.855357,0.997917,B7,f,0.998034
18.857146,0.855357,0.997917,B7,i,1.023034
18.857146,0.855357,0.997917,B7,m,1.085534
18.857146,0.855357,0.997917,B7,m,1.085534
18.857146,0.855357,0.997917,B7,m,1.035534
19.714289,0.855357,0.997917,Eb7,f,1.035534
20.571432,1.7125,0.997917,Eb7,i,1.110534
20.571432,1.7125,1.997917,Eb7,m,1.110534
20.571432,1.7125,1.997917,Eb7,m,0.960534
20.571432,1.7125,1.997917,Eb7,f,0.910534
22.285718,1.7125,1.997917,A7,i,1.060534
22.285718,1.7125,1.997917,A7,m,0.910534
22.285718,1.7125,1.997917,A7,m,0.923034
22.285718,1.7125,1.997917,A7,f,0.998034
24.000004,0.855357,1.997917,D7,i,1.160534
24.000004,0.855357,0.997917,D7,m,0.960534
24.000004,0.855357,0.997917,D7,f,0.960534
24.857147,0.855357,0.997917,B7,i,1.285534
24.857147,0.855357,0.997917,B7,m,1.210534
24.857147,0.855357,0.997917,B7,f,1.135534
25.71429,0.855357,0.997917,E7,i,1.023034
25.71429,0.855357,0.997917,E7,m,0.985534
25.71429,0.855357,0.997917,E7,f,0.985534
26.571433,0.855357,0.997917,A7,i,1.185534
26.571433,0.855357,0.997917,A7,m,1.210534
26.571433,0.855357,0.997917,A7,f,1.210534
27.428576,0.855357,0.997917,G6,i,1.073034
27.428576,0.855357,0.997917,G6,m,0.948034
27.428576,0.855357,0.997917,G6,m,1.035534
27.428576,0.855357,0.997917,G6,m,0.948034
28.285719,0.855357,0.997917,G6,f,0.935534
29.142862,1.283929,0.997917,Bb7,i,1.048034
29.142862,1.283929,1.497917,Bb7,m,0.910534
29.142862,1.283929,1.497917,Bb7,m,0.985534
29.142862,1.283929,1.497917,Bb7,f,0.948034
30.428577,0.426786,1.497917,Eb7,i,1.023034
30.857148,0.855357,0.497917,A7,i,0.910534
30.857148,0.855357,0.997917,A7,m,1.073034
30.857148,0.855357,0.997917,A7,m,1.023034
30.857148,0.855357,0.997917,A7,m,0.973034
31.714291,0.855357,0.997917,A7,f,1.073034
32.571434,1.283929,0.997917,B7,i,1.048034
32.571434,1.283929,1.497917,B7,m,0.948034
32.571434,1.283929,1.497917,B7,m,0.973034
32.571434,1.283929,1.497917,B7,f,0.973034
33.857149,0.426786,1.497917,B7,i,0.973034
34.28572,0.855357,0.497917,E,m,0.985534
34.28572,0.855357,0.997917,E,m,0.948034
34.28572,0.855357,0.997917,E,m,0.985534
34.28572,0.855357,0.997917,E,m,1.085534
35.142863,0.855357,0.997917,E,m,1.085534
36.000006,0.426786,0.997917,A7,m,1.085534
36.000006,0.855357,0.497917,A7,m,0.960534
36.000006,0.855357,0.997917,A7,m,0.948034
36.000006,0.855357,0.997917,A7,m,1.085534
36.428578,0.426786,0.997917,A7,m,1.185534
36.857149,0.426786,0.497917,C6,m,1.023034
37.285721,0.426786,0.497917,C6,m,1.023034
37.714292,0.855357,0.497917,B7,m,0.960534
37.714292,1.7125,0.997917,B7,m,0.885534
