@relation 'All_onset_5feat_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45-weka.filters.unsupervised.attribute.Remove-R1-5,7,9,11-12,14-16,18-32'

@attribute onset_s numeric
@attribute measure numeric
@attribute pre_dur_s numeric
@attribute pre_ionset_s numeric
@attribute n_simult numeric
@attribute onset_dev numeric

@data
0,1,0,0,3,0
0,1,0.855357,0,3,0.232917
0,1,0.855357,0,3,0.329333
0,1,0.855357,0,3,1.352
0.857143,1,0.855357,-0.857143,0,0.473333
1.714286,1,0.855357,-0.857143,3,0.133083
1.714286,1,1.283929,0,3,0.237083
1.714286,1,1.283929,0,3,0.309667
1.714286,1,1.283929,0,3,0.394167
3.000001,1,1.283929,-1.285715,0,0.323083
3.428572,2,0.426786,-0.428571,3,0.27375
3.428572,2,0.855357,0,3,0.330083
3.428572,2,0.855357,0,3,0.37775
3.428572,2,0.855357,0,3,0.4785
4.285715,2,0.855357,-0.857143,0,0.790417
5.142858,2,0.855357,-0.857143,3,0.097
5.142858,2,1.283929,0,3,0.266
5.142858,2,1.283929,0,3,0.426333
5.142858,2,1.283929,0,3,0.596417
6.428573,2,1.283929,-1.285715,0,0.516667
6.857144,3,0.426786,-0.428572,3,0.4955
6.857144,3,0.855357,0,3,0.588667
6.857144,3,0.855357,0,3,0.645
6.857144,3,0.855357,0,3,0.7165
7.714287,3,0.855357,-0.857143,0,0.586417
8.57143,3,0.855357,-0.857143,0,-0.413583
8.57143,3,0.426786,0,2,-0.404917
8.57143,3,0.855357,0,2,0.463917
8.57143,3,0.855357,0,2,0.480167
9.000002,3,0.855357,-0.428572,0,-0.003583
9.428573,3,0.426786,-0.428572,0,-0.02475
9.857145,3,0.426786,-0.428572,0,-0.52475
10.285716,4,0.426786,-0.428572,3,-1.0215
10.285716,4,0.855357,0,4,-1.0215
10.285716,4,1.7125,0,4,-0.586
10.285716,4,1.7125,0,4,-0.534
11.142859,4,1.7125,-0.857143,3,-0.543833
12.000002,4,0.855357,-0.857143,4,-0.28825
12.000002,4,1.7125,0,4,0.3715
12.000002,4,1.7125,0,4,0.3715
12.000002,4,1.7125,0,4,0.380167
12.428574,4,1.7125,-0.428572,4,1.839917
13.714288,5,1.283929,-1.285714,2,0.339917
14.571431,5,1.7125,-0.857143,2,0.330083
14.571431,5,0.855357,0,2,0.330083
15.428574,5,0.855357,-0.857143,0,-0.669917
15.428574,5,0.426786,0,0,-0.66125
15.857146,5,0.426786,-0.428572,0,-0.879583
15.857146,5,0.426786,0,0,-0.188417
16.285717,5,0.426786,-0.428572,0,-0.060083
16.285717,5,0.426786,0,0,0.24975
16.714289,5,0.426786,-0.428572,0,0.20475
16.714289,5,0.426786,0,0,0.20475
17.14286,6,0.426786,-0.428572,4,0.131583
17.14286,6,0.855357,0,4,0.207417
17.14286,6,0.855357,0,4,0.29625
17.14286,6,0.855357,0,4,0.36125
17.14286,6,0.855357,0,4,1.307
18.000003,6,0.855357,-0.857143,0,0.307
18.857146,6,0.855357,-0.857143,3,0.260333
18.857146,6,0.855357,0,3,0.269
18.857146,6,0.855357,0,3,0.269
18.857146,6,0.855357,0,3,0.280917
19.714289,6,0.855357,-0.857143,0,-0.719083
20.571432,7,0.855357,-0.857143,3,-0.829667
20.571432,7,1.7125,0,3,-0.829667
20.571432,7,1.7125,0,3,-0.821
20.571432,7,1.7125,0,3,0.16375
22.285718,7,1.7125,-1.714286,3,-1.83625
22.285718,7,1.7125,0,3,0.040083
22.285718,7,1.7125,0,3,0.286
22.285718,7,1.7125,0,3,0.366167
24.000004,8,1.7125,-1.714286,2,0.31075
24.000004,8,0.855357,0,2,1.287917
24.000004,8,0.855357,0,2,1.287917
24.857147,8,0.855357,-0.857143,2,0.287917
24.857147,8,0.855357,0,2,0.296583
24.857147,8,0.855357,0,2,1.274833
25.71429,8,0.855357,-0.857143,2,0.278083
25.71429,8,0.855357,0,2,1.26825
25.71429,8,0.855357,0,2,1.26825
