% This data was collected by Sergio Giraldo, MTG, Pompeu Fabra University, 2016 (sergio.giraldo@upf.edu). If you make use of this data please refer to the following citattions:
% Giraldo, Sergio, and Ramirez, Rafael (2015). Computational modeling of ornamentation in jazz guitar music, In proc. of International Symposium in Performance Science, ISPS 2015, September, Kyoto, Japan.
% Giraldo, Sergio, and Ramirez, Rafael(2015) . Computational Generation and Synthesis of Jazz Guitar Ornaments using Machine Learning Modeling. In proc. of International Workshop in Machine Learning and Music MML 2015, August, Vancouver, Canada.

@relation marc

@ATTRIBUTE onset_b numeric
@ATTRIBUTE duration_b numeric
@ATTRIBUTE ch numeric
@ATTRIBUTE pitch numeric
@ATTRIBUTE vel numeric
@ATTRIBUTE onset_s numeric
@ATTRIBUTE dur_s numeric
@ATTRIBUTE measure numeric
@ATTRIBUTE pre_dur_b numeric
@ATTRIBUTE pre_dur_s numeric
@ATTRIBUTE nxt_dur_b numeric
@ATTRIBUTE nxt_dur_s numeric
@ATTRIBUTE onset_b_mod numeric
@ATTRIBUTE pitch_mod numeric
@ATTRIBUTE prev_int numeric
@ATTRIBUTE next_int numeric
@ATTRIBUTE keyFifits numeric
@ATTRIBUTE note2key numeric
@ATTRIBUTE chord { Am }
@ATTRIBUTE chord_id numeric
@ATTRIBUTE chord_type { m }
@ATTRIBUTE note2chord numeric
@ATTRIBUTE isChordN { n }
@ATTRIBUTE mtr { s ss w ww }
@ATTRIBUTE nar1 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar2 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE nar3 { P R D ID IP VP IR VR SA SB NA }
@ATTRIBUTE tempo numeric
@ATTRIBUTE phrase { f i m }
@ATTRIBUTE fileName { Suite_en_la.xml }

@data
0.000000,0.500000,1.000000,60.000000,80.000000,0.000000,0.333333,1.000000,0.000000,0.000000,0.500000,0.333333,0.000000,0.000000,-15.000000,-4.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,ss,IP,IP,IP,90.000000,i,Suite_en_la.xml
0.500000,0.500000,1.000000,56.000000,80.000000,0.333333,0.333333,1.000000,0.500000,0.333333,0.333333,0.222222,0.500000,8.000000,4.000000,1.000000,0.000000,8.000000,Am,9.000000,m,1.000000,n,ww,IP,IP,P,90.000000,m,Suite_en_la.xml
1.000000,0.333333,1.000000,57.000000,80.000000,0.666667,0.222222,1.000000,0.500000,0.333333,0.333333,0.222222,1.000000,9.000000,-1.000000,-5.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,w,IP,P,P,90.000000,m,Suite_en_la.xml
1.333333,0.333333,1.000000,52.000000,80.000000,0.888889,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,1.333333,4.000000,5.000000,2.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
1.666667,0.333333,1.000000,54.000000,80.000000,1.111111,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,1.666667,6.000000,-2.000000,2.000000,0.000000,6.000000,Am,9.000000,m,3.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
2.000000,0.333333,1.000000,56.000000,80.000000,1.333333,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,2.000000,8.000000,-2.000000,1.000000,0.000000,8.000000,Am,9.000000,m,1.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
2.333333,0.333333,1.000000,57.000000,80.000000,1.555556,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,2.333333,9.000000,-1.000000,2.000000,0.000000,9.000000,Am,9.000000,m,0.000000,n,ww,P,P,P,90.000000,m,Suite_en_la.xml
2.666667,0.333333,1.000000,59.000000,80.000000,1.777778,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,2.666667,11.000000,-2.000000,1.000000,0.000000,11.000000,Am,9.000000,m,2.000000,n,ww,P,P,SB,90.000000,m,Suite_en_la.xml
3.000000,0.333333,1.000000,60.000000,80.000000,2.000000,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,3.000000,0.000000,-1.000000,2.000000,0.000000,0.000000,Am,9.000000,m,9.000000,n,w,P,SB,VR,90.000000,m,Suite_en_la.xml
3.333333,0.333333,1.000000,62.000000,80.000000,2.222222,0.222222,1.000000,0.333333,0.222222,0.333333,0.222222,3.333333,2.000000,-2.000000,2.000000,0.000000,2.000000,Am,9.000000,m,7.000000,n,ww,SB,VR,R,90.000000,m,Suite_en_la.xml
3.666667,0.333333,1.000000,64.000000,80.000000,2.444444,0.222222,1.000000,0.333333,0.222222,3.000000,2.000000,3.666667,4.000000,-2.000000,-19.000000,0.000000,4.000000,Am,9.000000,m,5.000000,n,ww,VR,R,P,90.000000,m,Suite_en_la.xml
