Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureKernelEvaluations,measureCacheHits
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,1,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,291.0,33.0,0.06710871304687499,0.0753998594312242,117.02182145242556,106.90932650324719,0.3818431098801963,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.049,0.0,0.046875,0.0,46.875,0.0,27221.0,89484.0,13890.0,NaN,NaN,?,2.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,2,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,291.0,33.0,0.07504636449481503,0.08993844826779655,93.39775453489338,97.27061556961486,0.3408119256776875,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.054,0.0,0.0625,0.0,62.5,0.0,34562.0,89484.0,13890.0,NaN,NaN,?,6.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,3,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,291.0,32.0,0.08408946032039746,0.1101224096719816,101.42361951991981,105.29402129176228,0.17161342458046377,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.041,0.0,0.046875,0.0,46.875,0.0,27165.0,89484.0,13890.0,NaN,NaN,?,2.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,4,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,291.0,33.0,0.06338290872653296,0.0858272406521669,86.83336003334306,91.25879406770605,0.4119382696834585,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.046,0.0,0.046875,0.0,46.875,0.0,25282.0,89484.0,13890.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,5,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,292.0,32.0,0.08070161591927147,0.11872962243250304,80.28776147865986,91.90172838620896,0.3929016321724214,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.043,0.0,0.03125,0.0,31.25,0.0,25271.0,89777.0,13597.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,6,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,292.0,32.0,0.05471021322996881,0.07434726217248308,78.8213051129372,83.8279448794328,0.5440058997333724,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.044,0.0,0.046875,0.0,46.875,0.0,25273.0,89777.0,13597.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,7,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,292.0,32.0,0.06470278116340532,0.09248836347806882,86.82828140343786,93.27643683526448,0.41753002982171394,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.047,0.0,0.046875,0.0,46.875,0.0,25279.0,89777.0,13597.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,8,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,292.0,32.0,0.10413130500941735,0.1319601995061518,92.69942160273361,91.78154351314643,0.383914914757431,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.048,0.0,0.046875,0.0,46.875,0.0,25279.0,89777.0,13597.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,9,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,292.0,32.0,0.07164389593133631,0.1022972563142169,86.56951390548285,95.26894158682083,0.3183939783564503,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.049,0.0,0.046875,0.0,46.875,0.0,25286.0,89777.0,13597.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,10,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091011E7,292.0,32.0,0.08129894025125328,0.10515809344433441,93.08157644480013,96.67669570736955,0.3811005953150295,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.046,0.0,0.046875,0.0,46.875,0.0,25276.0,89777.0,13597.0,NaN,NaN,?,1.0,?,?
