Key_Dataset,Key_Run,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureNumRules,measureKernelEvaluations,measureCacheHits
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091033E7,213.0,111.0,0.07868599714880475,0.10889736312577551,86.25764177257089,90.40061638776007,0.4381359959741568,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.029,0.0,0.03125,0.0,31.25,0.0,25250.0,66630.0,36744.0,NaN,NaN,?,1.0,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091033E7,213.0,111.0,0.10551801801801801,0.1423786428082805,115.67160268093691,118.19493788343847,0.13713210587954963,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.005,0.0,0.0,0.0,0.0,68925.0,66630.0,36744.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091033E7,213.0,111.0,0.09566441441441438,0.1262368425933092,104.86982548287713,104.7949009389618,0.20608659081045552,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.005,0.0,0.0,0.0,0.0,68933.0,66630.0,36744.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 4 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091033E7,213.0,111.0,0.0879222972972973,0.12021273431761342,96.38271482725881,99.7940167515227,0.23193729933400742,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.005,0.0,0.015625,0.0,15.625,68949.0,66630.0,36744.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.lazy.IBk,'-K 8 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091033E7,213.0,111.0,0.08427646396396393,0.11502719747304224,92.38605726397667,95.48926855932595,0.31042413505629307,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.005,0.0,0.0,0.0,0.0,68981.0,66630.0,36744.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.SMOreg,'-C 1.0 -N 0 -I \"weka.classifiers.functions.supportVector.RegSMOImproved -T 0.001 -V -P 1.0E-12 -L 0.001 -W 1\" -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\"',-7149606251113102827,2.01706091033E7,213.0,111.0,0.09224403562267879,0.12219665774192277,101.12031706670898,101.440961133606,0.3215832401570626,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.138,0.001,0.125,0.0,125.0,0.0,177041.0,66630.0,36744.0,NaN,NaN,?,?,22578.0,6294315.0
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,2.01706091033E7,213.0,111.0,0.10126249226863983,0.1344006109357604,111.0065843937614,111.57201352480169,0.34414555256281676,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,4.668,0.003,4.5,0.0,4500.0,0.0,197680.0,66630.0,36744.0,NaN,NaN,?,?,?,?
'Darn_that_dream_pas-weka.filters.unsupervised.attribute.Remove-R33-39,41-45',1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.01706091033E7,213.0,111.0,0.08558377367616657,0.11602971130818021,93.8191642579406,96.32150054394302,0.35283516805920784,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.028,0.0,0.03125,0.0,31.25,0.0,17431.0,66630.0,36744.0,NaN,NaN,?,?,?,?
'Darn_that_dream_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.trees.M5P,'-M 4.0',-6118439039768244417,2.01706091033E7,213.0,111.0,0.553036413499243,0.8105164804113358,69.13794785558758,83.98045944843389,0.5768507334435442,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.034,0.0,0.03125,0.0,31.25,0.0,44848.0,66635.0,36749.0,NaN,NaN,?,12.0,?,?
'Darn_that_dream_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091033E7,213.0,111.0,0.7122995765765763,1.061631107768433,89.0482611647702,109.99932802093818,0.41210625100037673,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.005,0.0,0.0,0.0,0.0,69223.0,66635.0,36749.0,NaN,NaN,?,?,?,?
'Darn_that_dream_onset_pas-weka.filters.unsupervised.attribute.Remove-R33-37,39-45',1,weka.classifiers.lazy.IBk,'-K 2 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,2.01706091033E7,213.0,111.0,0.644640774774775,0.8871904724926414,80.58988374736553,91.92492108290402,0.49034413863197457,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.005,0.0,0.0,0.0,0.0,69231.0,66635.0,36749.0,NaN,NaN,?,?,?,?
